,Utility Name,Plant Code,Plant Name,Generator ID,Technology,Ownership,Plant Balance,Owner #0,% Owned #0,Owner #1,% Owned #1,Owner #2,% Owned #2,Owner #3,% Owned #3,Owner #4,% Owned #4,Owner #5,% Owned #5,Owner #6,% Owned #6,Owner #7,% Owned #7,Owner #8,% Owned #8,Owner #9,% Owned #9,Owner #10,% Owned #10,Owner #11,% Owned #11,Owner #12,% Owned #12,Owner #13,% Owned #13,Owner #14,% Owned #14
6638,Louisiana Generating LLC,6055.0,Big Cajun 2,1,Conventional Steam Coal,S,91288.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6640,Louisiana Generating LLC,6055.0,Big Cajun 2,3,Conventional Steam Coal,J,1205333.6,Entergy Louisiana LLC,0.2415,Louisiana Generating LLC,0.58,Entergy Texas Inc.,0.1785,,,,,,,,,,,,,,,,,,,,,,,,
6660,Westar Energy Inc,6068.0,Jeffrey Energy Center,1,Conventional Steam Coal,J,7875777.0,Kansas Gas & Electric Co,0.2,Westar Energy Inc,0.72,KCP&L Greater Missouri Operations Co,0.08,,,,,,,,,,,,,,,,,,,,,,,,
6661,Westar Energy Inc,6068.0,Jeffrey Energy Center,2,Conventional Steam Coal,J,7664592.6,Kansas Gas & Electric Co,0.2,Westar Energy Inc,0.72,KCP&L Greater Missouri Operations Co,0.08,,,,,,,,,,,,,,,,,,,,,,,,
6662,Westar Energy Inc,6068.0,Jeffrey Energy Center,3,Conventional Steam Coal,J,10277717.0,Kansas Gas & Electric Co,0.2,Westar Energy Inc,0.72,KCP&L Greater Missouri Operations Co,0.08,,,,,,,,,,,,,,,,,,,,,,,,
6663,Louisville Gas & Electric Co,6071.0,Trimble County,1,Conventional Steam Coal,J,78880.0,Indiana Municipal Power Agency,0.1288,Illinois Municipal Elec Agency,0.1212,Louisville Gas & Electric Co,0.75,,,,,,,,,,,,,,,,,,,,,,,,
6665,Louisville Gas & Electric Co,6071.0,Trimble County,2,Conventional Steam Coal,J,5726984.1,Indiana Municipal Power Agency,0.1288,Illinois Municipal Elec Agency,0.1212,Kentucky Utilities Co,0.6075,Louisville Gas & Electric Co,0.1425,,,,,,,,,,,,,,,,,,,,,,
6672,Mississippi Power Co,6073.0,Victor J Daniel Jr,1,Conventional Steam Coal,J,41130.0,Gulf Power Co,0.5,Mississippi Power Co,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
6685,Talen Montana LLC,6076.0,Colstrip,1,Conventional Steam Coal,J,5542097.4,Talen Montana LLC,0.5,Puget Sound Energy Inc,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
6686,Talen Montana LLC,6076.0,Colstrip,2,Conventional Steam Coal,J,1320432.7,Talen Montana LLC,0.5,Puget Sound Energy Inc,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
6687,Talen Montana LLC,6076.0,Colstrip,3,Conventional Steam Coal,J,10411871.0,PacifiCorp,0.1,Portland General Electric Co,0.2,Talen Montana LLC,0.3,Puget Sound Energy Inc,0.25,Avista Corp,0.15,,,,,,,,,,,,,,,,,,,,
